lokal,naslov,city,cena,cena_old,doplacilo,doplacilo_old,lat,lon,posid,detailslink,sort-group,cena_diff,doplacilo_diff,cena_diff_percent,doplacilo_diff_percent
,,,,5.01,,2.19,,,3137,,,,,,
,,,,6.19,,3.37,,,2720,,,,,,
JOE PENA'S CANTINA Y BAR,Cankarjeva cesta 6,LJUBLJANA,9.0,7.0,5.5,4.18,46.0526204,14.5026065,1386,/sl/restaurant/Details/1386,74,2.0,1.3200000000000003,28.57142857142857,31.578947368421062
,,,,6.0,,3.18,,,3124,,,,,,
,,,,6.0,,3.18,,,3125,,,,,,
,,,,2.82,,0.0,,,2533,,,,,,
KAMPUS FOOD,Pivovarniška ulica 6,LJUBLJANA,7.5,6.32,4.0,3.5,46.058714,14.501792,3062,/sl/restaurant/Details/3062,75,1.1799999999999997,0.5,18.670886075949362,14.285714285714285
,,,,3.1,,0.28,,,1639,,,,,,
KAPITAL,Kardeljeva ploščad ,LJUBLJANA,4.5,2.82,1.0,0.0,46.074015,14.516453,2581,/sl/restaurant/Details/2581,75,1.6800000000000002,1.0,59.57446808510639,inf
KAVARNA IN KUHINJA FAKULTETA ZA KMETIJSTVO IN BIOSISTEMSKE VEDE,Pivola 10,HOČE,7.5,5.2,4.0,2.38,46.505466,15.6225793,3001,/sl/restaurant/Details/3001,75,2.3,1.62,44.230769230769226,68.0672268907563
,,,,6.32,,3.5,,,2396,,,,,,
,,,,4.59,,1.77,,,2839,,,,,,
KITAJSKA PALAČA - DOSTAVA,Focheva ulica 41,MARIBOR,8.8,6.99,5.3,4.17,46.5453657,15.643939,2775,/sl/restaurant/Details/2775,75,1.8100000000000005,1.13,25.89413447782547,27.098321342925658
"KITAJSKA RESTAVRACIJA ""LETEČA ZVEZDA""",Cesta v mestni log 55,LJUBLJANA,8.0,6.39,4.5,3.57,46.036207,14.489519,2841,/sl/restaurant/Details/2841,75,1.6100000000000003,0.9300000000000002,25.19561815336464,26.050420168067234
"KITAJSKA RESTAVRACIJA ""LETEČA ZVEZDA"" - DOSTAVA",Cesta v mestni log 55,LJUBLJANA,9.0,6.99,5.5,4.17,46.036207,14.489519,2842,/sl/restaurant/Details/2842,75,2.01,1.33,28.75536480686695,31.894484412470025
KITAJSKA RESTAVRACIJA AZIJA,Ptujska cesta 131 ,MARIBOR,8.0,6.69,4.5,3.87,46.5311257,15.6701161,2703,/sl/restaurant/Details/2703,75,1.3099999999999996,0.6299999999999999,19.581464872944686,16.279069767441857
KITAJSKA RESTAVRACIJA AZIJA,Gosposvetska ulica 1,KRANJ,8.5,6.69,5.0,3.87,46.2461166,14.3530853,2644,/sl/restaurant/Details/2644,75,1.8099999999999996,1.13,27.055306427503726,29.198966408268728
,,,,6.69,,3.87,,,3074,,,,,,
KITAJSKA RESTAVRACIJA CESARSKA HIŠA,Ankaranska cesta 5B,KOPER/CAPODISTRIA,7.6,6.19,4.1,3.37,45.5415072,13.7358793,2264,/sl/restaurant/Details/2264,75,1.4099999999999993,0.7299999999999995,22.77867528271404,21.661721068249243
KITAJSKA RESTAVRACIJA DVA ZMAJA,Kersnikova 31,CELJE,8.0,6.0,4.5,3.18,46.2391004,15.263821,2635,/sl/restaurant/Details/2635,75,2.0,1.3199999999999998,33.33333333333333,41.50943396226414
KITAJSKA RESTAVRACIJA HAN,Moskovska ulica 4,LJUBLJANA,8.9,6.8,5.4,3.98,46.07048,14.5507145,2950,/sl/restaurant/Details/2950,75,2.1000000000000005,1.4200000000000004,30.882352941176478,35.67839195979901
KITAJSKA RESTAVRACIJA HAN - ALEJA,Rakuševa ulica 1,LJUBLJANA,8.9,6.8,5.4,3.98,46.0782899,14.4836777,3118,/sl/restaurant/Details/3118,75,2.1000000000000005,1.4200000000000004,30.882352941176478,35.67839195979901
KITAJSKA RESTAVRACIJA MING ZHU,Bazoviška ulica 6,NOVA GORICA,8.2,6.19,4.7,3.37,45.9563076,13.6401351,2933,/sl/restaurant/Details/2933,75,2.009999999999999,1.33,32.47172859450725,39.46587537091988
KITAJSKA RESTAVRACIJA NANKING,Mačkovec 6,NOVO MESTO,7.5,6.19,4.0,3.37,45.8264393,15.1923673,1415,/sl/restaurant/Details/1415,75,1.3099999999999996,0.6299999999999999,21.16316639741518,18.69436201780415
KITAJSKA RESTAVRACIJA NOVI ŠANGHAI,Kapitelska 5,LJUBLJANA,8.2,6.19,4.7,3.37,46.0508628,14.5114751,1346,/sl/restaurant/Details/1346,75,2.009999999999999,1.33,32.47172859450725,39.46587537091988
KITAJSKA RESTAVRACIJA ŠANG HAI,Delavska ulica 11,JESENICE,8.2,6.59,4.7,3.77,46.4334456,14.0635691,2446,/sl/restaurant/Details/2446,75,1.6099999999999994,0.9300000000000002,24.43095599393019,24.668435013262606
KITAJSKA RESTAVRACIJA ZHONGHUA,Trubarjeva cesta 50,LJUBLJANA,8.0,6.09,4.5,3.27,46.052317,14.512212,2853,/sl/restaurant/Details/2853,75,1.9100000000000001,1.23,31.362889983579638,37.61467889908256
KITAJSKA RESTAVRACIJA ZLATA SRNA,Ulica Pohorskega bataljona 14,MARIBOR,7.0,5.49,3.5,2.67,46.5544914,15.6193002,2761,/sl/restaurant/Details/2761,75,1.5099999999999998,0.8300000000000001,27.504553734061925,31.08614232209738
KITAJSKA RESTAVRACIJA ZLATA SRNA - DOSTAVA,Ulica Pohorskega bataljona 14,MARIBOR,8.0,6.49,4.5,3.67,46.5544914,15.6193002,2762,/sl/restaurant/Details/2762,75,1.5099999999999998,0.8300000000000001,23.26656394453004,22.6158038147139
KITAJSKA RESTAVRACIJA ZVEZDA,Loška ulica 10,MARIBOR,7.0,5.62,3.5,2.8,46.5566926,15.6509716,1165,/sl/restaurant/Details/1165,75,1.38,0.7000000000000002,24.555160142348754,25.000000000000007
KITAJSKA RESTAVRACJA CESARSKA HIŠA-DOSTAVA,Ankaranska cesta 5B,KOPER/CAPODISTRIA,8.0,6.89,4.5,4.07,45.5415072,13.7358793,2265,/sl/restaurant/Details/2265,75,1.1100000000000003,0.4299999999999997,16.110304789550078,10.565110565110556
KITAJSKI DVOR,Teharska cesta 35,CELJE,8.0,5.99,4.5,3.17,46.2315729,15.2762559,1911,/sl/restaurant/Details/1911,75,2.01,1.33,33.55592654424039,41.955835962145116
KITAJSKI DVOR,Dunajska cesta 29,LJUBLJANA,8.0,6.19,4.5,3.37,46.061737,14.5076175,1610,/sl/restaurant/Details/1610,75,1.8099999999999996,1.13,29.24071082390952,33.531157270029674
KITAJSKI DVOR - DOSTAVA,Dunajska cesta 29,LJUBLJANA,9.0,6.89,5.5,4.07,46.0621392,14.5074844,2117,/sl/restaurant/Details/2117,75,2.1100000000000003,1.4299999999999997,30.624092888243837,35.13513513513512
KITAJSKI DVOR - DOSTAVA,Teharska cesta 35,CELJE,8.0,5.99,4.5,3.17,46.2314098,15.2761445,1164,/sl/restaurant/Details/1164,75,2.01,1.33,33.55592654424039,41.955835962145116
